company,employmenttype_jobstatus,jobdescription,joblocation_address,jobtitle,postdate,skills
iSoftStone,Contract W2,"  iSoftStone North America is looking for a Web Developer to join our Redmond Team! iSoftStone is looking for a Front-End Developer with 4 years of experience to join a marketing automation team. The person in this position will be responsible for developing HTML templates using the most current practices and maintaining the quality and page performance for our clients high traffic website. Responsibilities:Develop and unit test high-traffic templates built in internal MarketoParticipate in scrum and team meetingsWork with localization team, site managers, editors and designersIf needed, create and test UI controls using XHTML, XHTML/JS/CSSRepresent written code during code reviewsRequirements/Qualifications:Marketing automation experience, Marketo preferredProficient in XHTML, HTML 5, CSS, JavaScript, JQueryUnderstanding of XML, XSLTExperience with Handlebars.jsBI understanding and implementation: WebTrends, RIO, Atlas, MVT, Ensighten, OptimizelyExperience with Team Foundation Server, SourceDepot, Git, Grunt, Node.js, PubWiz, CodeFlow, SourceDepotGood communication and collaboration skills iSoftStone North America is a technology consulting firm partnering with its clients to create innovative solutions that improve business performance and provide a sustainable, competitive advantage. Backed by proven processes, innovation, and a strong track record with companies that range from emerging startups to Fortune 100 companies, iSoftStone North America navigates clients through today’s challenges while helping them build for the future. The company's employees work across offices in Seattle, Boston, New York, Toronto, and Boise. Globally, the iSoftStone network includes 22 delivery centers and over 18,000 employees. For more information on iSoftStone North America, visit www.isoftstoneinc.com. iSoftStone North America prides itself on our ability to partner with clients to deeply understand their industry dynamics and business challenges, in order to find solutions. Internally, we understand that our success is driven by our great team and work environment. We have received awards for being one of the best places to work. We're creative, energetic, and share our clients' successes. If you have a passion for delivering innovative technology solutions and want to work for a great company, get in touch. We're always looking for the next big talent. Please note: we are unable to consider third party candidates for this position.iSoftStone offers a salary commensurate with experience, an enjoyable and fun work environment, plus an extensive benefits package. iSoftStone North America is an equal opportunity employer.","Redmond, WA",Web Developer - 3823,4 days ago,"XHTML, JS, CSS"
"Sacc, Inc.","Contract Corp-To-Corp, Contract Independent, Contract W2","  Role: Back-End EngineerLocation -  Sunnyvale, CAJob Type - ContractDuration : 7+ MonthsThis project involves many key engineering challenges as we deal with a huge data set (Billions of products and Terabytes of data). Fast and automatic data normalization, extraction and categorization requires advanced Machine Learning and Data Mining techniques. And finally, presenting this data optimally to users across Client's Stores, Mobile and Online requires deciding which content/attribute is most relevant for that user in that context. We are looking to expand our Back-End Engineering team. Once you've joined, you will be part of a world-class team, and you will design, prototype and build technology-driven products and experiences that will change the future landscape of ecommerce.Opportunities:- Become a key member of a highly-valuable, innovative team solving the challenge of obtaining product data for the entire Client's store assortment and making it available to various multichannel teams- Help invent the next generation of ecommerce; integrated experiences that leverage product data for various use cases across Client's, stores and mobile- Work with world-class technologists and product visionaries as a contributing member of the Client's core engineering team- Design and develop high-performance and scalable applications for use within the Client's product ecosystem- Be responsible for laying the foundation for the platform as well as proposing solutions to ease software development, monitoring of software, etc.- Be excited about making an immediate impact on a global scale Minimum Qualifications- BS or MS in Computer Science (or equivalent industry experience)- 3-5 years of backend engineering work experience- Strong knowledge of Java and at least one scripting language, Python a plus- Experience with Unix-like operating systems required- Strong Experience with backend data processing and databases, both relational and NoSQL- Experience with Hadoop, Hive and related big data systems is a plus- Experience in building distributed/scalable systems is a plus- Good testing practices (unit, integration, system) with automation  ","Sunnyvale, CA",Back-End Engineer,1 week ago,"Java, Python, UNIX Scripting, Hadoop, HIve, NoSQL, Distributed/Scalable/Enterprise Application"
"Sacc, Inc.","Contract Corp-To-Corp, Contract Independent, Contract W2","  Role: Back-End EngineerLocation -  Sunnyvale, CAJob Type - ContractDuration : 7+ MonthsThis project involves many key engineering challenges as we deal with a huge data set (Billions of products and Terabytes of data). Fast and automatic data normalization, extraction and categorization requires advanced Machine Learning and Data Mining techniques. And finally, presenting this data optimally to users across Client's Stores, Mobile and Online requires deciding which content/attribute is most relevant for that user in that context. We are looking to expand our Back-End Engineering team. Once you've joined, you will be part of a world-class team, and you will design, prototype and build technology-driven products and experiences that will change the future landscape of ecommerce.Opportunities:- Become a key member of a highly-valuable, innovative team solving the challenge of obtaining product data for the entire Client's store assortment and making it available to various multichannel teams- Help invent the next generation of ecommerce; integrated experiences that leverage product data for various use cases across Client's, stores and mobile- Work with world-class technologists and product visionaries as a contributing member of the Client's core engineering team- Design and develop high-performance and scalable applications for use within the Client's product ecosystem- Be responsible for laying the foundation for the platform as well as proposing solutions to ease software development, monitoring of software, etc.- Be excited about making an immediate impact on a global scale Minimum Qualifications- BS or MS in Computer Science (or equivalent industry experience)- 3-5 years of backend engineering work experience- Strong knowledge of Java and at least one scripting language, Python a plus- Experience with Unix-like operating systems required- Strong Experience with backend data processing and databases, both relational and NoSQL- Experience with Hadoop, Hive and related big data systems is a plus- Experience in building distributed/scalable systems is a plus- Good testing practices (unit, integration, system) with automation  ","Sunnyvale, CA",Back-End Engineer,1 week ago,"Java, Python, UNIX Scripting, Hadoop, HIve, NoSQL, Distributed/Scalable/Enterprise Application"
Tanu Infotech Inc,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, 6","  Total Positions: 6 (, Auto Finance -2, Consumer Loans -1, Cards -1)Location: NJ OR DelawareAuto Domain Business Analysts – 2 Positions Essential Job Functions:•        Interact with business users to understand the application business requirements. S/he will interact with senior to junior level business users and stakeholders.•        Interact with technical teams of current platform, as required, to gather requirements by “reverse engineering” current platforms, models, etc. without being biased by them.•        Create business requirements document, functional specifications documents, use cases. S/he may have to do wireframes along with UX designer to demonstrate functionalities/reports.•        Analyze the massive data sets to analyze risk, trends and other management dashboard components. Program being data intensive, a lot of time will be spent on data analysis.•        Interact with technical and development teams to ensure they understand the functionality to be implemented according to requirements.•        Assist in functional testing of the application/reports. Requirements:•        At minimum, bachelor’s degree with at least 7 years of work experience in an application development environment.•        Excellent verbal and written communication skills•        A strong team attitude and works well with others•        Ability to pay attention to detail•        Aptitude for troubleshooting and problem solving. Look for holistic solutions.•        Have at least a medium level SQL proficiency to query databases. SQL expertise is primarily on querying, joins, aggregate and conditional functions•        Experience working in Agile methodology will be a plus","Jersey City, NJ",Business Analyst (Auto Finance Domain),2 days ago,"Business Analyst,Auto Finance"
Tanu Infotech Inc,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, 6","  Total Positions: 6 (, Auto Finance -2, Consumer Loans -1, Cards -1)Location: NJ OR DelawareAuto Domain Business Analysts – 2 Positions Essential Job Functions:•        Interact with business users to understand the application business requirements. S/he will interact with senior to junior level business users and stakeholders.•        Interact with technical teams of current platform, as required, to gather requirements by “reverse engineering” current platforms, models, etc. without being biased by them.•        Create business requirements document, functional specifications documents, use cases. S/he may have to do wireframes along with UX designer to demonstrate functionalities/reports.•        Analyze the massive data sets to analyze risk, trends and other management dashboard components. Program being data intensive, a lot of time will be spent on data analysis.•        Interact with technical and development teams to ensure they understand the functionality to be implemented according to requirements.•        Assist in functional testing of the application/reports. Requirements:•        At minimum, bachelor’s degree with at least 7 years of work experience in an application development environment.•        Excellent verbal and written communication skills•        A strong team attitude and works well with others•        Ability to pay attention to detail•        Aptitude for troubleshooting and problem solving. Look for holistic solutions.•        Have at least a medium level SQL proficiency to query databases. SQL expertise is primarily on querying, joins, aggregate and conditional functions•        Experience working in Agile methodology will be a plus","Jersey City, NJ",Business Analyst (Auto Finance Domain),2 days ago,"Business Analyst,Auto Finance"
Ness Software Engineering Services,"Full Time, Contract Corp-To-Corp, Contract W2"," About NESS : (www.ness.com ) Ness Software Engineering Services is a recognized global leader in software product and platform engineering. Ness is the partner of choice for companies who differentiate their products and services through commercial grade, value added software. Ness delivers competitive advantage through shorter time to market, more engaging user experience and higher productivity, drawing on more than a decade of product engineering expertise along with world class distributed agile practices, innovation through emerging technologies and cutting edge mobile experience engineering. Ness has cultivated long-term client partnerships with leading companies who value a culture of engineering excellence, transparency and co-innovation. Ness employs 6500+ people who work alongside clients in North America, Europe and Asia and operate technology and design centers in India, Slovakia, Czech Republic, Romania, UK, Israel and the U.S. Ness has more than 500 clients including many Fortune 1000 and Software 500 companies in key vertical markets including education, media & publishing, financial services, travel, transportation & entertainment, retail, sports, software and high end technology.  Client : Direct end client Location: Seattle , WANESS USA INC  ( www.ness.com )   Senior .Net C# Developer with Strong SQL and Core Java. Must be strong in Architecture and Design skills and hands on coding.Must be senior candidates with 10 years plus","Seattle, WA",.NET Technical Lead (hands on Coder),3 days ago,".Net ,C# , ASP.net , Strong SQL , Core Java"
Ness Software Engineering Services,"Full Time, Contract Corp-To-Corp, Contract W2"," About NESS : (www.ness.com ) Ness Software Engineering Services is a recognized global leader in software product and platform engineering. Ness is the partner of choice for companies who differentiate their products and services through commercial grade, value added software. Ness delivers competitive advantage through shorter time to market, more engaging user experience and higher productivity, drawing on more than a decade of product engineering expertise along with world class distributed agile practices, innovation through emerging technologies and cutting edge mobile experience engineering. Ness has cultivated long-term client partnerships with leading companies who value a culture of engineering excellence, transparency and co-innovation. Ness employs 6500+ people who work alongside clients in North America, Europe and Asia and operate technology and design centers in India, Slovakia, Czech Republic, Romania, UK, Israel and the U.S. Ness has more than 500 clients including many Fortune 1000 and Software 500 companies in key vertical markets including education, media & publishing, financial services, travel, transportation & entertainment, retail, sports, software and high end technology.  Client : Direct end client Location: Seattle , WANESS USA INC  ( www.ness.com )   Senior .Net C# Developer with Strong SQL and Core Java. Must be strong in Architecture and Design skills and hands on coding.Must be senior candidates with 10 years plus","Seattle, WA",.NET Technical Lead (hands on Coder),3 days ago,".Net ,C# , ASP.net , Strong SQL , Core Java"
Aries Systems Corporation,Full Time," Aries Systems Corporation may not be a household name, but every day some of the smartest people in the world use our products.  If you haven’t heard of us, you may want to know that intelligent, passionate and talented people work at Aries because they understand exactly what our software makes possible.  Our SaaS based tools quietly enable the publication of more than half of the world’s scientific and medical research.  In a nutshell, what we do here keeps the vast river of human knowledge flowing.   If that sounds like something you might want to contribute to, maybe you should consider joining us.  You’ll be in good company.                                             Our Client Services department has an exciting opportunity available for an Account Coordinator to join the Support Team.  The Account Coordinator (AC) will guide customers through the implementation of our Editorial Manager (EM) and ProduXion Manager (PM) software, as well as provide ongoing support.  The AC is responsible for assisting our customers in configuring and using EM and PM to work with their editorial and publishing workflow, and providing extensive customer training for both services.   ACs troubleshoot and track customer questions and suggestions related to the set up and subsequent use of the EM and PM software.  As this position has potential to develop into a Sr. Account Coordinator role, we are looking for a candidate capable of managing large publisher accounts, as well as someone with a strong interest in exploring new developments in the STM publishing community.   The ideal candidate will have 2-3 years experience working in a software support / customer service-related field or in an editorial office.  Experience in the scholarly publishing industry is extremely beneficial, and highly preferred.   Responsibilities: Maintain direct contact with customers and troubleshoot software-related issues that they and their end-users may experience.Coordinate implementation of customer data.Scheduling and implementation of system training.Perform EM and PM software testing, and recreate system problems the customer may experience.Act as liaison between customers, Product Management, and the Engineering staff.Manage all projects for assigned customers, such as feature development requests, custom reports, ongoing training needs, custom tutorials, etc.Ability to understand and identify potential growth opportunities within assigned accounts.Proactively contact customers regarding new features that might be beneficial to their workflowConduct sessions at our annual User’s Group Meeting, preparing presentations and presenting to group sessions. Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Basic understanding of customer support in web based environments a must.Knowledge of multiple computer platforms and internet browsers.Demonstrated excellence in written and verbal communication.Detail oriented, with strong organizational skills.Ability to manage through competing priorities.Highly flexible and diplomatic.Ability to work in a collaborative team environment.Above-average writing and communication skills.Account management, and business development skills a plus.Bachelor's degree. Aries is a wildly successful industry leader with millions of global users, a thirty year track record of innovation and we are most definitely growing.    We enjoy huge market share, a recession resistant clientele, rock solid stability that is virtually unheard of in the software industry and we have never had a layoff - EVER.   Our low stress environment is flexible, casual, family friendly, and has NO forced overtime. We offer a competitive compensation package including 4 weeks PTO, Holidays, Education, Medical, Dental, Life, 401(k), company paid outings and more.   Visit us on the web to learn more about our company, products and open positions:   http://www.ariessys.com/ PLEASE NOTE: Aries Systems is an equal opportunity employer.  This is a full time, direct and “on site” position.  We are unable to sponsor or transfer work visas at this time.  No third party submissions, C2C requests or agencies of any kind, please. For consideration and details, potential candidates are encouraged to send resume and financial requirements to:","North Andover, MA",Client Services Account Coordinator,2 days ago,"Customer Service, Scholarly Publishing"
Aries Systems Corporation,Full Time," Aries Systems Corporation may not be a household name, but every day some of the smartest people in the world use our products.  If you haven’t heard of us, you may want to know that intelligent, passionate and talented people work at Aries because they understand exactly what our software makes possible.  Our SaaS based tools quietly enable the publication of more than half of the world’s scientific and medical research.  In a nutshell, what we do here keeps the vast river of human knowledge flowing.   If that sounds like something you might want to contribute to, maybe you should consider joining us.  You’ll be in good company.                                             Our Client Services department has an exciting opportunity available for an Account Coordinator to join the Support Team.  The Account Coordinator (AC) will guide customers through the implementation of our Editorial Manager (EM) and ProduXion Manager (PM) software, as well as provide ongoing support.  The AC is responsible for assisting our customers in configuring and using EM and PM to work with their editorial and publishing workflow, and providing extensive customer training for both services.   ACs troubleshoot and track customer questions and suggestions related to the set up and subsequent use of the EM and PM software.  As this position has potential to develop into a Sr. Account Coordinator role, we are looking for a candidate capable of managing large publisher accounts, as well as someone with a strong interest in exploring new developments in the STM publishing community.   The ideal candidate will have 2-3 years experience working in a software support / customer service-related field or in an editorial office.  Experience in the scholarly publishing industry is extremely beneficial, and highly preferred.   Responsibilities: Maintain direct contact with customers and troubleshoot software-related issues that they and their end-users may experience.Coordinate implementation of customer data.Scheduling and implementation of system training.Perform EM and PM software testing, and recreate system problems the customer may experience.Act as liaison between customers, Product Management, and the Engineering staff.Manage all projects for assigned customers, such as feature development requests, custom reports, ongoing training needs, custom tutorials, etc.Ability to understand and identify potential growth opportunities within assigned accounts.Proactively contact customers regarding new features that might be beneficial to their workflowConduct sessions at our annual User’s Group Meeting, preparing presentations and presenting to group sessions. Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Basic understanding of customer support in web based environments a must.Knowledge of multiple computer platforms and internet browsers.Demonstrated excellence in written and verbal communication.Detail oriented, with strong organizational skills.Ability to manage through competing priorities.Highly flexible and diplomatic.Ability to work in a collaborative team environment.Above-average writing and communication skills.Account management, and business development skills a plus.Bachelor's degree. Aries is a wildly successful industry leader with millions of global users, a thirty year track record of innovation and we are most definitely growing.    We enjoy huge market share, a recession resistant clientele, rock solid stability that is virtually unheard of in the software industry and we have never had a layoff - EVER.   Our low stress environment is flexible, casual, family friendly, and has NO forced overtime. We offer a competitive compensation package including 4 weeks PTO, Holidays, Education, Medical, Dental, Life, 401(k), company paid outings and more.   Visit us on the web to learn more about our company, products and open positions:   http://www.ariessys.com/ PLEASE NOTE: Aries Systems is an equal opportunity employer.  This is a full time, direct and “on site” position.  We are unable to sponsor or transfer work visas at this time.  No third party submissions, C2C requests or agencies of any kind, please. For consideration and details, potential candidates are encouraged to send resume and financial requirements to:","North Andover, MA",Client Services Account Coordinator,4 days ago,"Customer Service, Scholarly Publishing"
Aries Systems Corporation,Full Time," Aries Systems Corporation may not be a household name, but every day some of the smartest people in the world use our products.  If you haven’t heard of us, you may want to know that intelligent, passionate and talented people work at Aries because they understand exactly what our software makes possible.  Our SaaS based tools quietly enable the publication of more than half of the world’s scientific and medical research.  In a nutshell, what we do here keeps the vast river of human knowledge flowing.   If that sounds like something you might want to contribute to, maybe you should consider joining us.  You’ll be in good company.                                             Our Software Engineering department has a new and challenging opportunity available  for a Release Automation / DevOps Engineer.  Candidate should be as comfortable working on a project team developing and troubleshooting the application software as they are debugging and troubleshooting environmental issues in development and quality assurance environments.   This individual will implement a continuous integration build and release process, manage source code, oversee artifact management and manage and monitor the automated build and continuous integration workflow and environment. Job Duties: Create an integrated build/deployment process.Provide documentation for change management and best practicesCoordinate code merges and deployments with DEV and QA teams and provide assistance to IT for Production deploymentIntegrate existing tools and develop new tools and scripts to improve the build infrastructureAssist in defining best practice release and deployment processes and maintenance activitiesDefine, develop, implement, document and evolve continuous integration tooling and standardsPerform release and branch change managementCommunicate effectively with other engineers in a positive and collaborative mannerCollaborate with Development, QA and other teams to ensure a smooth transition of deliverables through proper release channelsPerform configuration management for pre-release environments Basic Qualifications: Experience in developing build solutions and development tools in a Microsoft Windows environmentUnderstands the SDLC and how processes and tools support itExperience with TeamCity and Octopus or equivalent Build/Deployment toolExperience with Accurev or equivalent version control systemCompetency with command line scriptingCompetency with C# programming and the .NET frameworkKnowledge of IIS configuration and general Microsoft Windows administration (Windows 10, Server 2012)Experience with Microsoft SQL Server and TSQL Aries is a wildly successful industry leader with millions of global users, a thirty year track record of innovation and we are most definitely growing.    We enjoy huge market share, a recession resistant clientele, rock solid stability that is virtually unheard of in the software industry and we have never had a layoff - EVER.   Our low stress environment is flexible, casual, family friendly, and has NO forced overtime. We offer a competitive compensation package including 4 weeks PTO, Holidays, Education, Medical, Dental, Life, 401(k), company paid outings and more.   Visit us on the web to learn more about our company, products and open positions:   http://www.ariessys.com/ PLEASE NOTE: Aries Systems is an equal opportunity employer.  This is a full time, direct and “on site” position.   We are unable to sponsor or transfer work visas at this time.  No third party submissions, C2C requests or agencies of any kind, please. For consideration and details, potential candidates are encouraged to send resume and financial requirements to:","North Andover, MA",Release Automation / DevOps Engineer,2 days ago,"change management, devops, release engineer, TeamCity, Octopus, Accurev, .Net, C#, IIS, SQL,TSQL, Apache,"
Aries Systems Corporation,Full Time," Aries Systems Corporation may not be a household name, but every day some of the smartest people in the world use our products.  If you haven’t heard of us, you may want to know that intelligent, passionate and talented people work at Aries because they understand exactly what our software makes possible.  Our SaaS based tools quietly enable the publication of more than half of the world’s scientific and medical research.  In a nutshell, what we do here keeps the vast river of human knowledge flowing.   If that sounds like something you might want to contribute to, maybe you should consider joining us.  You’ll be in good company.                                             Our Software Engineering department has a new and challenging opportunity available  for a Release Automation / DevOps Engineer.  Candidate should be as comfortable working on a project team developing and troubleshooting the application software as they are debugging and troubleshooting environmental issues in development and quality assurance environments.   This individual will implement a continuous integration build and release process, manage source code, oversee artifact management and manage and monitor the automated build and continuous integration workflow and environment. Job Duties: Create an integrated build/deployment process.Provide documentation for change management and best practicesCoordinate code merges and deployments with DEV and QA teams and provide assistance to IT for Production deploymentIntegrate existing tools and develop new tools and scripts to improve the build infrastructureAssist in defining best practice release and deployment processes and maintenance activitiesDefine, develop, implement, document and evolve continuous integration tooling and standardsPerform release and branch change managementCommunicate effectively with other engineers in a positive and collaborative mannerCollaborate with Development, QA and other teams to ensure a smooth transition of deliverables through proper release channelsPerform configuration management for pre-release environments Basic Qualifications: Experience in developing build solutions and development tools in a Microsoft Windows environmentUnderstands the SDLC and how processes and tools support itExperience with TeamCity and Octopus or equivalent Build/Deployment toolExperience with Accurev or equivalent version control systemCompetency with command line scriptingCompetency with C# programming and the .NET frameworkKnowledge of IIS configuration and general Microsoft Windows administration (Windows 10, Server 2012)Experience with Microsoft SQL Server and TSQL Aries is a wildly successful industry leader with millions of global users, a thirty year track record of innovation and we are most definitely growing.    We enjoy huge market share, a recession resistant clientele, rock solid stability that is virtually unheard of in the software industry and we have never had a layoff - EVER.   Our low stress environment is flexible, casual, family friendly, and has NO forced overtime. We offer a competitive compensation package including 4 weeks PTO, Holidays, Education, Medical, Dental, Life, 401(k), company paid outings and more.   Visit us on the web to learn more about our company, products and open positions:   http://www.ariessys.com/ PLEASE NOTE: Aries Systems is an equal opportunity employer.  This is a full time, direct and “on site” position.   We are unable to sponsor or transfer work visas at this time.  No third party submissions, C2C requests or agencies of any kind, please. For consideration and details, potential candidates are encouraged to send resume and financial requirements to:","North Andover, MA",Release Automation / DevOps Engineer,4 days ago,"change management, devops, release engineer, TeamCity, Octopus, Accurev, .Net, C#, IIS, SQL,TSQL, Apache,"
Calvary Consulting,"Full Time, longterm/fulltime"," AWS Cloud Architect/ Tech specialist 3 positions - Princeton, NJ1 position- Santa Clara, CAFulltimeSalary is openplease send resume to lisa(@)calvaryconsulting.com or call 610-365-8202will hire over Skype and will transfer H1 visa ·         Minimum 6+ years of good hand-on experience with AWS foundation services related to compute, network, storage, content delivery, administration and security, deployment and management, automation technologies.·         Strong architecture & design experience of Deploying Enterprise applications on AWS, monitoring and performance tuning of deployed applications on AWS.·         Expertise in developing competencies and references through proof-of-concepts.·         Expertise in Infra capacity sizing, costing of AWS services to drive optimized solution architecture, leading to optimal infra investment vs performance and scale.·         Expertise in articulating architectural choices within various AWS services and solution methodologies.·         Proficiency in DevOps automation and tools - Jenkins, Chef, Puppet, Shell Scripts.·         Understanding of networking fundamentals, concepts and design principles.·         Working Knowledge in Java, Node JS & other open source technologies.·         Working Knowledge in AJAX, JQuery is an added advantage. ","Santa Clara, CA",AWS Cloud Architect/ Tech specialist,14 hours ago,Strong architecture & design experience of Deploying Enterprise applications on AWS
Calvary Consulting,"Full Time, longterm/fulltime"," AWS Cloud Architect/ Tech specialist 3 positions - Princeton, NJ1 position- Santa Clara, CAFulltimeSalary is openplease send resume to lisa(@)calvaryconsulting.com or call 610-365-8202will hire over Skype and will transfer H1 visa ·         Minimum 6+ years of good hand-on experience with AWS foundation services related to compute, network, storage, content delivery, administration and security, deployment and management, automation technologies.·         Strong architecture & design experience of Deploying Enterprise applications on AWS, monitoring and performance tuning of deployed applications on AWS.·         Expertise in developing competencies and references through proof-of-concepts.·         Expertise in Infra capacity sizing, costing of AWS services to drive optimized solution architecture, leading to optimal infra investment vs performance and scale.·         Expertise in articulating architectural choices within various AWS services and solution methodologies.·         Proficiency in DevOps automation and tools - Jenkins, Chef, Puppet, Shell Scripts.·         Understanding of networking fundamentals, concepts and design principles.·         Working Knowledge in Java, Node JS & other open source technologies.·         Working Knowledge in AJAX, JQuery is an added advantage. ","Santa Clara, CA",AWS Cloud Architect/ Tech specialist,2 days ago,Strong architecture & design experience of Deploying Enterprise applications on AWS
Chameleon Technologies,Contract W2," BI Developer/Analyst We are looking for an experienced SQL Server and SSAS developer with experience creating reports within Power BI or similar to create highly visible and enterprise level reports for stakeholders to gain insight into the business.  You will provide design, architecture, implement solutions with high quality that meets the needs of the Developer Experience (DX) organization.ResponsibilitiesEvaluate data source to determine if the data will meet the stakeholder business requirementsEnsure the provide data and reports are high qualityAbility to automate and ensure reports can be refreshed easilyCreate the necessary SQL objects/models to support a range of adhoc and standard reports /dashboard in Power BI or ExcelRespond to customer’s / stakeholder feature requests and feedbackAbility to quickly mock up power bi reportsWork with stakeholders to define requirements Technical SkillsExperience with two or more of the following: Reporting Services, Power BI, Excel, Tableau, and other reporting platforms (5+ years experience)Senior SQL Server Developer (5+ years experience)Senior SQL Server Analysis Server development experienceTFSExcellent Analytical & Reporting Skills Preferred by not required:Microsoft Experience","Redmond, WA",BI Developer/Analyst,3 days ago,"Business Intelligence, SQL, Excel, Automate, SSAS"
Chameleon Technologies,Contract W2," BI Developer/Analyst We are looking for an experienced SQL Server and SSAS developer with experience creating reports within Power BI or similar to create highly visible and enterprise level reports for stakeholders to gain insight into the business.  You will provide design, architecture, implement solutions with high quality that meets the needs of the Developer Experience (DX) organization.ResponsibilitiesEvaluate data source to determine if the data will meet the stakeholder business requirementsEnsure the provide data and reports are high qualityAbility to automate and ensure reports can be refreshed easilyCreate the necessary SQL objects/models to support a range of adhoc and standard reports /dashboard in Power BI or ExcelRespond to customer’s / stakeholder feature requests and feedbackAbility to quickly mock up power bi reportsWork with stakeholders to define requirements Technical SkillsExperience with two or more of the following: Reporting Services, Power BI, Excel, Tableau, and other reporting platforms (5+ years experience)Senior SQL Server Developer (5+ years experience)Senior SQL Server Analysis Server development experienceTFSExcellent Analytical & Reporting Skills Preferred by not required:Microsoft Experience","Redmond, WA",BI Developer/Analyst,3 days ago,"Business Intelligence, SQL, Excel, Automate, SSAS"
"Intekras, Inc","Full Time, Ongoing"," Candidate must have strong technical skills and experience in supporting the following IT Security services: Certification & Accreditation Contingency Planning Encryption & PKI Risk Management Security Policy Development Security Product Evaluation Security Architecture Design Vulnerability Assessments Penetration Testing Security Training Candidate will be working at the FEMA headquarters building in Washington, DC, but will be supporting other locations when needed. Some travel will be required as necessary. Responsibilities Oversee the efforts of security staff to design, develop, engineer and implement solutions to security requirements. Responsible for the implementation and development of the DHS IT security. Gather and organize technical information about an organization's mission goals and needs, existing security products, and ongoing programs in the MLS arena. Perform risk analyses which also includes risk assessment. Provide support to plan, coordinate, and implement the organization’s information security. Provide support for facilitating and helping agencies identify their current security infrastructure and define future programs, design and implementation of security related to IT systems. A working knowledge of several of the following areas is required: understanding of business security practices and procedures; knowledge of current security tools available; hardware/software security implementation; different communication protocols; Encryption techniques/tools; familiarity with commercial products, and current Internet/EC technology. Provides daily supervision and direction to staff. Must be able to step in to the Program Manager/SME’s role and provide program/project management when necessary. Generate System Security documents in accordance with NIST 800-53 and other mandates from client’s System Security Program Develop system security documentation, analysis on security accreditation documentation, development of IT security policy and procedure documents, drafting of test reports, and proposing risk mitigation strategies Support system Certification and Accreditation (C&A) process Responsible for independent technical and non-technical evaluations of the security program Assess systems vulnerabilities; determine adequacy of security controls and the level of inherent risk Develop strategies to comply with federal privacy, risk management, and related requirements Develop internal information handling processes so that information is appropriately protected from problems such as unauthorized disclosure and unauthorized use Provide support for agency-defined ongoing security activities and deliverables   Qualifications Bachelor’s degree. 5+ years experience in Information Security If no Bachelor’s degree, then must have at least 10+ years of experience in Information Security DoD Top Secret Clearance desired,  Secret Clearance required Strong Information Security industry knowledge required. Information Security certifications strongly desired Salary & Benefits Current annual salary range is commensurate with experience Comprehensive benefits package offered including health, dental, vision, life, 401K, etc.","Washington, DC",Information Technology Security Analyst,2 days ago,"CISSP, CEH, C&A, Security+, Forensics, Nessus, NIST Risk Management Framework, CISA, Secret Clearance"
"Intekras, Inc","Full Time, Ongoing"," Candidate must have strong technical skills and experience in supporting the following IT Security services: Certification & Accreditation Contingency Planning Encryption & PKI Risk Management Security Policy Development Security Product Evaluation Security Architecture Design Vulnerability Assessments Penetration Testing Security Training Candidate will be working at the FEMA headquarters building in Washington, DC, but will be supporting other locations when needed. Some travel will be required as necessary. Responsibilities Oversee the efforts of security staff to design, develop, engineer and implement solutions to security requirements. Responsible for the implementation and development of the DHS IT security. Gather and organize technical information about an organization's mission goals and needs, existing security products, and ongoing programs in the MLS arena. Perform risk analyses which also includes risk assessment. Provide support to plan, coordinate, and implement the organization’s information security. Provide support for facilitating and helping agencies identify their current security infrastructure and define future programs, design and implementation of security related to IT systems. A working knowledge of several of the following areas is required: understanding of business security practices and procedures; knowledge of current security tools available; hardware/software security implementation; different communication protocols; Encryption techniques/tools; familiarity with commercial products, and current Internet/EC technology. Provides daily supervision and direction to staff. Must be able to step in to the Program Manager/SME’s role and provide program/project management when necessary. Generate System Security documents in accordance with NIST 800-53 and other mandates from client’s System Security Program Develop system security documentation, analysis on security accreditation documentation, development of IT security policy and procedure documents, drafting of test reports, and proposing risk mitigation strategies Support system Certification and Accreditation (C&A) process Responsible for independent technical and non-technical evaluations of the security program Assess systems vulnerabilities; determine adequacy of security controls and the level of inherent risk Develop strategies to comply with federal privacy, risk management, and related requirements Develop internal information handling processes so that information is appropriately protected from problems such as unauthorized disclosure and unauthorized use Provide support for agency-defined ongoing security activities and deliverables   Qualifications Bachelor’s degree. 5+ years experience in Information Security If no Bachelor’s degree, then must have at least 10+ years of experience in Information Security DoD Top Secret Clearance desired,  Secret Clearance required Strong Information Security industry knowledge required. Information Security certifications strongly desired Salary & Benefits Current annual salary range is commensurate with experience Comprehensive benefits package offered including health, dental, vision, life, 401K, etc.","Washington, DC",Information Technology Security Analyst,2 days ago,"CISSP, CEH, C&A, Security+, Forensics, Nessus, NIST Risk Management Framework, CISA, Secret Clearance"
